Month;Value;Estado;Year;filtro
C4CR;48;Archivado;2002-2006;comisión entrante
C4S;6;Archivado;2002-2006;comisión entrante
C1CR;74;Archivado;2002-2006;comisión entrante
C1S;106;Archivado;2002-2006;comisión entrante
C5CR;29;Archivado;2002-2006;comisión entrante
C5S;11;Archivado;2002-2006;comisión entrante
C2CR;18;Archivado;2002-2006;comisión entrante
C2S;35;Archivado;2002-2006;comisión entrante
C7CR;55;Archivado;2002-2006;comisión entrante
C7S;55;Archivado;2002-2006;comisión entrante
C6CR;42;Archivado;2002-2006;comisión entrante
C6S;46;Archivado;2002-2006;comisión entrante
C3CR;33;Archivado;2002-2006;comisión entrante
C3S;13;Archivado;2002-2006;comisión entrante
NA;561;Archivado;2002-2006;comisión entrante
C4CR;43;Archivado;2006-2010;comisión entrante
C4S;8;Archivado;2006-2010;comisión entrante
C1CR;55;Archivado;2006-2010;comisión entrante
C1S;66;Archivado;2006-2010;comisión entrante
C5CR;10;Archivado;2006-2010;comisión entrante
C5S;19;Archivado;2006-2010;comisión entrante
C2CR;22;Archivado;2006-2010;comisión entrante
C2S;60;Archivado;2006-2010;comisión entrante
C7CR;76;Archivado;2006-2010;comisión entrante
C7S;41;Archivado;2006-2010;comisión entrante
C6CR;48;Archivado;2006-2010;comisión entrante
C6S;39;Archivado;2006-2010;comisión entrante
C3CR;33;Archivado;2006-2010;comisión entrante
C3S;12;Archivado;2006-2010;comisión entrante
NA;736;Archivado;2006-2010;comisión entrante
C4CR;27;Archivado;2010-2014;comisión entrante
C4S;9;Archivado;2010-2014;comisión entrante
C1CR;135;Archivado;2010-2014;comisión entrante
C1S;169;Archivado;2010-2014;comisión entrante
C5CR;26;Archivado;2010-2014;comisión entrante
C5S;45;Archivado;2010-2014;comisión entrante
C2CR;19;Archivado;2010-2014;comisión entrante
C2S;67;Archivado;2010-2014;comisión entrante
C7CR;73;Archivado;2010-2014;comisión entrante
C7S;108;Archivado;2010-2014;comisión entrante
C6CR;69;Archivado;2010-2014;comisión entrante
C6S;51;Archivado;2010-2014;comisión entrante
C3CR;90;Archivado;2010-2014;comisión entrante
C3S;26;Archivado;2010-2014;comisión entrante
NA;72;Archivado;2010-2014;comisión entrante
C4CR;21;Archivado;2014-2018;comisión entrante
C4S;2;Archivado;2014-2018;comisión entrante
C1CR;204;Archivado;2014-2018;comisión entrante
C1S;181;Archivado;2014-2018;comisión entrante
C5CR;62;Archivado;2014-2018;comisión entrante
C5S;48;Archivado;2014-2018;comisión entrante
C2CR;32;Archivado;2014-2018;comisión entrante
C2S;48;Archivado;2014-2018;comisión entrante
C7CR;77;Archivado;2014-2018;comisión entrante
C7S;96;Archivado;2014-2018;comisión entrante
C6CR;93;Archivado;2014-2018;comisión entrante
C6S;69;Archivado;2014-2018;comisión entrante
C3CR;54;Archivado;2014-2018;comisión entrante
C3S;25;Archivado;2014-2018;comisión entrante
NA;1;Archivado;2014-2018;comisión entrante
Proyecto Acto Legislativo;82;Archivado;2002-2006;Tipo proyecto
Proyecto de Ley;1043;Archivado;2002-2006;Tipo proyecto
Proyecto de ley Estatutaria;12;Archivado;2002-2006;Tipo proyecto
Proyecto Acto Legislativo;101;Archivado;2006-2010;Tipo proyecto
Proyecto de Ley;1152;Archivado;2006-2010;Tipo proyecto
Proyecto de ley Estatutaria;23;Archivado;2006-2010;Tipo proyecto
Proyecto Acto Legislativo;74;Archivado;2010-2014;Tipo proyecto
Proyecto de Ley;884;Archivado;2010-2014;Tipo proyecto
Proyecto de ley Estatutaria;30;Archivado;2010-2014;Tipo proyecto
Proyecto Acto Legislativo;91;Archivado;2014-2018;Tipo proyecto
Proyecto de Ley;900;Archivado;2014-2018;Tipo proyecto
Proyecto de ley Estatutaria;34;Archivado;2014-2018;Tipo proyecto
Gubernamental;40;Archivado;2002-2006;Iniciativa
Legislativa;1078;Archivado;2002-2006;Iniciativa
Mixta;6;Archivado;2002-2006;Iniciativa
Otras entidades;12;Archivado;2002-2006;Iniciativa
Popular;1;Archivado;2002-2006;Iniciativa
Gubernamental;94;Archivado;2006-2010;Iniciativa
Legislativa;1167;Archivado;2006-2010;Iniciativa
Mixta;7;Archivado;2006-2010;Iniciativa
Otras entidades;5;Archivado;2006-2010;Iniciativa
Popular;3;Archivado;2006-2010;Iniciativa
Gubernamental;52;Archivado;2010-2014;Iniciativa
Legislativa;924;Archivado;2010-2014;Iniciativa
Mixta;1;Archivado;2010-2014;Iniciativa
Otras entidades;9;Archivado;2010-2014;Iniciativa
Popular;2;Archivado;2010-2014;Iniciativa
Gubernamental;53;Archivado;2014-2018;Iniciativa
Legislativa;960;Archivado;2014-2018;Iniciativa
Mixta;1;Archivado;2014-2018;Iniciativa
Otras entidades;10;Archivado;2014-2018;Iniciativa
Popular;1;Archivado;2014-2018;Iniciativa
Local;116;Archivado;2002-2006;Alcance
Nacional;1001;Archivado;2002-2006;Alcance
Regional;9;Archivado;2002-2006;Alcance
Tratado;10;Archivado;2002-2006;Alcance
Local;125;Archivado;2006-2010;Alcance
Nacional;1105;Archivado;2006-2010;Alcance
Regional;21;Archivado;2006-2010;Alcance
Tratado;25;Archivado;2006-2010;Alcance
Local;108;Archivado;2010-2014;Alcance
Nacional;843;Archivado;2010-2014;Alcance
Regional;27;Archivado;2010-2014;Alcance
Tratado;9;Archivado;2010-2014;Alcance
Local;60;Archivado;2014-2018;Alcance
Nacional;921;Archivado;2014-2018;Alcance
Regional;27;Archivado;2014-2018;Alcance
Tratado;14;Archivado;2014-2018;Alcance
